Source,Target
tellitaly,Sweet_HoneygaI
dschamyal,abhivalimbe
dschamyal,TOIIndiaNews
dschamyal,adgpi
dschamyal,kamaalrkhan
dschamyal,krishnaeyee
dschamyal,LuciferVaaz
dschamyal,mickeymilind
dschamyal,aaagyaani
dschamyal,ANI
dschamyal,OmarAbdullah
dschamyal,JKNC_
dschamyal,ANI
dschamyal,OmarAbdullah
dschamyal,JKNC_
dschamyal,SubbaRaoTN
dschamyal,BJP4India
dschamyal,BJP4India
dschamyal,SubbaRaoTN
dschamyal,BJP4India
dschamyal,BJP4India
dschamyal,DoctorAjayita
dschamyal,renukash
dschamyal,rockyluchha
dschamyal,isay_nobita
dschamyal,rockyluchha
dschamyal,isay_nobita
dschamyal,DoctorAjayita
dschamyal,josepolanco10
dschamyal,col_malhan
dschamyal,AnasMallick
dschamyal,BBhuttoZardari
dschamyal,baat_aur_jzbaat
VickyHanumant,ICICIBank_Care
VickyHanumant,AJEnglish
VickyHanumant,sagarikaghose
VickyHanumant,AbhishBanerj
VickyHanumant,MnshaP
VickyHanumant,newslaundry
VickyHanumant,MnshaP
VickyHanumant,newslaundry
VickyHanumant,MnshaP
VickyHanumant,effucktivehumor
VickyHanumant,RahulGandhi
VickyHanumant,AamAadmiParty
VickyHanumant,ArvindKejriwal
VickyHanumant,AtishiAAP
VickyHanumant,shrawan_ku
VickyHanumant,Being_Humor
VickyHanumant,OLXAutosIndia
VickyHanumant,OLX_India
VickyHanumant,Niva_Bupa
VickyHanumant,DelhiPolice
VickyHanumant,AamAadmiParty
VickyHanumant,PMOIndia
VickyHanumant,narendramodi
VickyHanumant,msisodia
VickyHanumant,ArvindKejriwal
VickyHanumant,DelhiPolice
VickyHanumant,AamAadmiParty
VickyHanumant,PMOIndia
VickyHanumant,narendramodi
VickyHanumant,msisodia
VickyHanumant,ArvindKejriwal
VickyHanumant,Rameshbhimtal
VickyHanumant,bollywood_life
VickyHanumant,HeroMotoCorp
VickyHanumant,bollywood_life
VickyHanumant,HeroMotoCorp
VickyHanumant,alviinaalametsa
VickyHanumant,sagarikaghose
VickyHanumant,TeestaSetalvad
VickyHanumant,saritatiwariuk
tarunsharma005,raani_purohit
tarunsharma005,afzal_congress
tarunsharma005,WasiuddinSiddi1
tarunsharma005,SRKUniverse
tarunsharma005,SRKFC_PUNE
tarunsharma005,iamsrk
tarunsharma005,deepikapadukone
tarunsharma005,PragyaLive
tarunsharma005,iamsrk
tarunsharma005,deepikapadukone
tarunsharma005,vivekagnihotri
tarunsharma005,ms_medusssa
tarunsharma005,maryada_maurya
tarunsharma005,mlkhattar
tarunsharma005,PMOIndia
tarunsharma005,narendramodi
tarunsharma005,mlkhattar
tarunsharma005,narendramodi
tarunsharma005,mlkhattar
tarunsharma005,PMOIndia
tarunsharma005,mlkhattar
tarunsharma005,manojsinha_
tarunsharma005,mlkhattar
tarunsharma005,mlkhattar
tarunsharma005,mlkhattar
tarunsharma005,mlkhattar
tarunsharma005,mlkhattar
tarunsharma005,isro
tarunsharma005,hemant_up
tarunsharma005,REAL___HINDUTV
tarunsharma005,BJP4Haryana
tarunsharma005,mlkhattar
tarunsharma005,mlkhattar
tarunsharma005,Drsubhassarkar
tarunsharma005,VlKASPR0NAM0
tarunsharma005,SupriyaShrinate
tarunsharma005,IBakshi_IND
tarunsharma005,myogiadityanath
tarunsharma005,_Payalrohatgi
tarunsharma005,epanchjanya
tarunsharma005,INavneetF
tarunsharma005,mlkhattar
tarunsharma005,pushkardhami
tarunsharma005,Kiran_Saran77
tarunsharma005,SeharShinwari
tarunsharma005,brand_amendra
tarunsharma005,epanchjanya
tarunsharma005,narendramodi
tarunsharma005,PMOIndia
tarunsharma005,payal_trustable
tarunsharma005,mlkhattar
tarunsharma005,PMOIndia
tarunsharma005,narendramodi
tarunsharma005,bptp_pf1
tarunsharma005,vijaydixitin
tarunsharma005,AamAadmiParty
tarunsharma005,mlkhattar
tarunsharma005,rajeshnagarfbd
tarunsharma005,bptp_pf1
tarunsharma005,SupriyaShrinate
tarunsharma005,RahulGandhi
tarunsharma005,rajeshnagarfbd
tarunsharma005,mlkhattar
tarunsharma005,bptp_pf1
tarunsharma005,ZeeNews
