Source,Target
BabuRao_Deva,#hardeepsinghpuri
BabuRao_Deva,#ResignHardeepsinghpuri
BabuRao_Deva,#cryingbaby
ra54077891,#55YearsOfHinduJagruti
ra54077891,#BJP4NewTelangana
ra54077891,#onlineexamforrgpv
ra54077891,#PMNarendraModi
Sanju40382206,#ShameOnNDTV
Sanju40382206,#ArrestSeemaPatra
Sanju40382206,#KHAAN_GANG_TBKC
Sanju40382206,#BoycottLigerMovie
Sanju40382206,#BoycottLaalSinghChaddha
