Source,Target
sanjuktaroyvai1,KhaledBeydoun
sanjuktaroyvai1,LenshowP
sanjuktaroyvai1,isuenil3
sanjuktaroyvai1,LenshowP
sanjuktaroyvai1,isuenil3
sanjuktaroyvai1,ArvindKejriwal
sanjuktaroyvai1,dhanyarajendran
sanjuktaroyvai1,bhaktAntiVirus
sanjuktaroyvai1,umesh050197
sanjuktaroyvai1,rahul_1700
sanjuktaroyvai1,VarunUWU
sanjuktaroyvai1,Raylinerekha
sanjuktaroyvai1,rishibagree
sanjuktaroyvai1,bhaktAntiVirus
sanjuktaroyvai1,umesh050197
sanjuktaroyvai1,rahul_1700
sanjuktaroyvai1,VarunUWU
sanjuktaroyvai1,Raylinerekha
sanjuktaroyvai1,rishibagree
sanjuktaroyvai1,bhaktAntiVirus
sanjuktaroyvai1,umesh050197
sanjuktaroyvai1,rahul_1700
sanjuktaroyvai1,VarunUWU
sanjuktaroyvai1,Raylinerekha
sanjuktaroyvai1,rishibagree
sanjuktaroyvai1,rahul_1700
sanjuktaroyvai1,VarunUWU
sanjuktaroyvai1,Raylinerekha
sanjuktaroyvai1,rishibagree
sanjuktaroyvai1,Profdilipmandal
sanjuktaroyvai1,elonmusk
sanjuktaroyvai1,goody_guy2002
sanjuktaroyvai1,ArchitMeta
sanjuktaroyvai1,RShivshankar
sanjuktaroyvai1,sv5rc
sanjuktaroyvai1,ArchitMeta
sanjuktaroyvai1,RShivshankar
sanjuktaroyvai1,goody_guy2002
sanjuktaroyvai1,ArchitMeta
sanjuktaroyvai1,RShivshankar
sanjuktaroyvai1,goody_guy2002
sanjuktaroyvai1,ArchitMeta
sanjuktaroyvai1,RShivshankar
sanjuktaroyvai1,khannakaira1
sanjuktaroyvai1,sarcar_priyanka
sanjuktaroyvai1,drunkJournalist
sanjuktaroyvai1,sarcar_priyanka
sanjuktaroyvai1,senthamizshik
sanjuktaroyvai1,abhishekanandji
sanjuktaroyvai1,snehamordani
sanjuktaroyvai1,bhogleharsha
sanjuktaroyvai1,iam_juhi
sanjuktaroyvai1,iam_juhi
sanjuktaroyvai1,ArchitMeta
sanjuktaroyvai1,RShivshankar
sanjuktaroyvai1,ClaireGodsall
sanjuktaroyvai1,AbhijeetHashtag
sanjuktaroyvai1,piersmorgan
sanjuktaroyvai1,RishiSunak
sanjuktaroyvai1,PunYaab
sanjuktaroyvai1,Jasmine01737661
sanjuktaroyvai1,Sudarsa36287350
sanjuktaroyvai1,saroj1999kumar
sanjuktaroyvai1,ARanganathan72
sanjuktaroyvai1,Notalonehuman
sanjuktaroyvai1,ARanganathan72
sanjuktaroyvai1,vaibhavUP65
sanjuktaroyvai1,Tiny_Dhillon
sanjuktaroyvai1,WilfredQuadros1
sanjuktaroyvai1,manishslgjalan
sanjuktaroyvai1,tavleen_singh
sanjuktaroyvai1,nayanikaaa
sanjuktaroyvai1,upamanyu70
sanjuktaroyvai1,KaranKundrra18
sanjuktaroyvai1,RitaPanahi
sanjuktaroyvai1,jankibaat1
sanjuktaroyvai1,thevaseemvr7596
sanjuktaroyvai1,DrRohanKrishna3
sanjuktaroyvai1,EvaVlaar
sanjuktaroyvai1,EvaVlaar
sanjuktaroyvai1,tapeshj15234944
sanjuktaroyvai1,amitpar
sanjuktaroyvai1,rvprabhu
sanjuktaroyvai1,sardesairajdeep
sanjuktaroyvai1,Sanatan_Prabhat
sanjuktaroyvai1,KhaledBeydoun
sanjuktaroyvai1,KashifRizvi_
sanjuktaroyvai1,SayakDas122001
sanjuktaroyvai1,ahamad1_imtiyaz
sanjuktaroyvai1,KhaledBeydoun
sanjuktaroyvai1,KashifRizvi_
sanjuktaroyvai1,SayakDas122001
sanjuktaroyvai1,ahamad1_imtiyaz
sanjuktaroyvai1,KashifRizvi_
sanjuktaroyvai1,SayakDas122001
sanjuktaroyvai1,ahamad1_imtiyaz
sanjuktaroyvai1,KashifRizvi_
sanjuktaroyvai1,SayakDas122001
sanjuktaroyvai1,ahamad1_imtiyaz
sanjuktaroyvai1,KashifRizvi_
sanjuktaroyvai1,SayakDas122001
sanjuktaroyvai1,ahamad1_imtiyaz
sanjuktaroyvai1,ManiAsh
sanjuktaroyvai1,ErikSolheim
sanjuktaroyvai1,ravikarkara
sanjuktaroyvai1,KashifRizvi_
sanjuktaroyvai1,SayakDas122001
sanjuktaroyvai1,ahamad1_imtiyaz
sanjuktaroyvai1,Joy02001037
sanjuktaroyvai1,DrJoyeeta
sanjuktaroyvai1,Shamim23559131
sanjuktaroyvai1,DrJoyeeta
sanjuktaroyvai1,DrJoyeeta
sanjuktaroyvai1,chintel_
sanjuktaroyvai1,sankrant
sanjuktaroyvai1,chintel_
sanjuktaroyvai1,sankrant
sanjuktaroyvai1,KashifRizvi_
sanjuktaroyvai1,SayakDas122001
sanjuktaroyvai1,ahamad1_imtiyaz
sanjuktaroyvai1,KashifRizvi_
sanjuktaroyvai1,SayakDas122001
sanjuktaroyvai1,ahamad1_imtiyaz
sanjuktaroyvai1,SayakDas122001
sanjuktaroyvai1,ahamad1_imtiyaz
sanjuktaroyvai1,SayakDas122001
sanjuktaroyvai1,ahamad1_imtiyaz
sanjuktaroyvai1,Paulomi88
sanjuktaroyvai1,Ergauravsuper20
sanjuktaroyvai1,kazaraja1
sanjuktaroyvai1,tathagata2
sanjuktaroyvai1,narendramodi
sanjuktaroyvai1,Paulomi88
sanjuktaroyvai1,kazaraja1
sanjuktaroyvai1,tathagata2
